RestaurantName,Latitude,Longitude,FoodItem,MenuTypeIndex,MenuType,DishTypeIndex,DishType,AddOn,Description,Dairy,Milk,Eggs,ShellFish,Fish,TreeNuts,Peanuts,Wheat,Soybeans,Sesame,Vegan,Vegetarian,GlutenFree,Pescatarian,NOTE:
DIG Inn,,,tomatoes and cucumbers,1,Regular,3,Sides,,"Persian Cucumbers, Heirloom Cherry Tomatoes, Pickled Red Onions (apple cider vinegar, water, sea salt, sugar, Peppadew Peppers), Mint, Parsley, black pepper, Maldon sea salt ",N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,cashew kale caesar,1,Regular,3,Sides,,"Green kale, Tuscan kale, Cashew Caesar dressing (lemon juice, cashews, coconut aminos, garlic, dijon mustard, sea salt, black pepper, red wine vinegar, canola oil, water), Candied Cashew (cashew, maple syrup, sea salt, sugar, canola oil, cayenne pepper, Chinese five spice, black pepper), chili flake, green cabbage, lemon juice, Maldon sea salt ",N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,charred broccli with lemon,1,Regular,3,Sides,,"Roasted broccoli (broccoli, sea salt, garlic oil [garlic, sunflower oil]), lemon, Maldon sea salt ",N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,jasper hill mac and cheese,1,Regular,3,Sides,,"Whole wheat pasta, bechamel sauce (canola oil, whole wheat flour, whole milk, garlic, rosemary, nutmeg, sea salt, bay leaf, black pepper, Nisin), Jasper Hill shredded cheese blend, heavy cream, seasoned breadcrumb (panko breadcrumb, garlic oil [garlic, sunflower oil], onion powder, sea salt, smoked sweet paprika, black pepper) ",Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,
DIG Inn,,,roasted sweet potatoes ,1,Regular,3,Sides,,"Roasted sweet potato (sweet potato, canola oil, sea salt, black pepper), Rosemary Oil (Sunflower Oil, Rosemary), extra virgin olive oil, Maldon sea salt ",N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,sheet tray carrots,1,Regular,3,Sides,,"Coriander spiced carrot (carrot, garlic oil [garlic, sunflower oil], coriander, sea salt, chili flake), Gremolata Pesto (marjoram, parsley, rosemary, garlic, canola oil, extra virgin olive oil, sea salt), lemon, Maldon sea salt ",N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,Roasted street corn,1,Regular,3,Sides,,"Roasted corn (garlic oil, corn, sea salt, chili flake), green cabbage, peppadew peppers, cilantro, parsley, grated parmesan, lime juice, garlic aioli (Silken tofu, garlic, cayenne, sea salt, mustard powder, apple cider vinegar, canola oil, extra virgin olive oil) ",Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,
DIG Inn,,,Pickle Slaw,1,Regular,3,Sides,,"Green cabbage, shredded pickled carrots (sugar, sea salt, pickle brine), pickles, parsley, Dig Sauce (vegan mayonnaise, Sriracha [Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water], smoked black pepper, garlic powder) ",N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,
DIG Inn,,,mashed potatoes ,1,Regular,3,Sides,,"Yukon gold potatoes, heavy cream, butter, garlic oil (garlic, sunflower oil), sea salt",Y,,N,N,N,N,N,N,N,N,N,Y,Y,Y,
DIG Inn,,,mashed potatoes with gravy,1,Regular,3,Sides,,"Mashed potatoes (yukon gold potatoes, heavy cream, butter, garlic oil [garlic, sunflower oil], sea salt), poultry gravy (turkey stock [water, turkey stock, natural flavor, salt, yeast extract, sugar, and turkey fat], Wheat Starch, Corn Starch, Chicken Fat, [chicken fat, rosemary], spice, sea salt, granulated sugar, caramel color, onion powder, carrot powder [carrot, rice hull], nisin, rosemary oil [rosemary, sunflower oil], smoked black pepper, sea salt)",Y,,N,N,N,N,N,Y,N,N,N,Y,N,Y,
DIG Inn,,,vegan classic dig,1,Regular,4,Chef's Specials,,"Crispy Tofu (Corn Starch, Coriander, Crushed Red Pepper, Sea Salt, Smoked Paprika, dried oregano), Roasted Sweet Potatoes (Sweet potato, sweet potato marinade [canola oil, sea salt, black pepper], Rosemary Oil [Sunflower Oil, Rosemary], extra virgin olive oil, Maldon sea salt), Charred Broccoli with Lemon (Broccoli, sea salt, garlic oil [garlic, sunflower oil], lemon, Maldon sea salt), Classic Brown Rice (Brown rice, water, sea salt, bay leaf, thyme oil [Sunflower Oil, thyme], apple cider vinegar, lime juice, Maldon sea salt, parsley), garlic aioli (tofu, garlic, cayenne, sea salt, mustard powder, apple cider vinegar, canola oil, extra virgin olive oil) ",N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,
DIG Inn,,,classic dig,1,Regular,4,Chef's Specials,,"Charred Chicken (Skinless chicken thigh, charred chicken marinade [extra virgin olive oil, yellow onion, lemon, sea salt, water, smoked sweet paprika, coriander, onion powder, mustard seed, fennel seed]). Roasted Sweet Potatoes (Sweet potato, sweet potato marinade [canola oil, sea salt, black pepper], Rosemary Oil [Sunflower Oil, Rosemary], extra virgin olive oil, Maldon sea salt), Charred Broccoli with Lemon (Broccoli, sea salt, garlic oil [garlic, sunflower oil], lemon, Maldon sea salt), Classic Brown Rice (Brown rice, water, sea salt, bay leaf, thyme oil [Sunflower Oil, thyme], apple cider vinegar, lime juice, Maldon sea salt, parsley), garlic aioli (tofu, garlic, cayenne, sea salt, mustard powder, apple cider vinegar, canola oil, extra virgin olive oil) ",N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,
